"Subject","Session","Measure","Explaination"
"T067","RestingBaseline","ALL","Stopped halfway through"
"T067","BaselineWriting","ALL","Stopped halfway through"
"T067","StressCondition","ALL","Stopped halfway through"
"T067","DualTask","ALL","Stopped halfway through"
"T067","Presentation","ALL","Stopped halfway through"
"T023","RestingBaseline","ALL","Stopped halfway through"
"T023","BaselineWriting","ALL","Stopped halfway through"
"T023","StressCondition","ALL","Stopped halfway through"
"T023","DualTask","ALL","Stopped halfway through"
"T023","Presentation","ALL","Stopped halfway through"
