"Subject","Condition","Essay","Positive","Neutral","Negative","WordCount","SentenceCount"
"T003","IH","WB",0,0,0,126,5
"T003","IH","DT",0,0,0,368,16
"T005","IH","WB",0,0,0,146,8
"T005","IH","DT",0,0,0,175,10
"T006","IH","WB",0,0,0,80,4
"T006","IH","DT",0,0,0,270,16
"T009","IH","WB",0,0,0,96,7
"T009","IH","DT",0,0,0,226,11
"T011","IH","WB",0,0,0,123,6
"T011","IH","DT",0,0,0,93,8
"T062","IH","WB",0,0,0,127,6
"T062","IH","DT",0,0,0,435,24
"T067","IH","WB",0,0,0,60,4
"T127","IH","WB",0,0,0,154,7
"T127","IH","DT",0,0,0,478,26
"T035","IL","WB",0,0,0,85,4
"T035","IL","DT",0,0,0,147,7
"T094","IL","WB",0,0,0,104,8
"T094","IL","DT",0,0,0,134,9
"T155","IL","WB",0,0,0,124,4
"T155","IL","DT",0,0,0,407,16
"T158","IL","WB",0,0,0,129,5
"T158","IL","DT",0,0,0,464,16
"T162","IL","WB",0,0,0,100,5
"T162","IL","DT",0,0,0,539,27
"T016","BH","WB",0,0,0,86,5
"T016","BH","DT",0,0,0,300,16
"T080","BH","WB",0,0,0,155,11
"T080","BH","DT",0,0,0,391,19
"T082","BH","WB",0,0,0,155,11
"T082","BH","DT",0,0,0,391,19
"T136","BH","WB",0,0,0,165,7
"T136","BH","DT",0,0,0,539,28
"T146","BH","WB",0,0,0,120,6
"T146","BH","DT",0,0,0,360,19
"T107","BL","WB",0,0,0,107,6
"T107","BL","DT",0,0,0,59,4
"T109","BL","WB",0,0,0,115,5
"T109","BL","DT",0,0,0,92,3
"T167","BL","WB",0,0,0,113,5
"T167","BL","DT",0,0,0,196,10
"T180","BL","WB",0,0,0,119,8
"T180","BL","DT",0,0,0,204,13
