"Subject","Session","Measure","Explaination"
"T005","RestingBaseline","HR","HR Confidence"
"T005","BaselineWriting","HR","HR Confidence"
"T005","StressCondition","HR","HR Confidence"
"T005","DualTask","HR","HR Confidence"
"T005","Presentation","HR","HR Confidence"
"T009","RestingBaseline","HR","HR Confidence"
"T009","BaselineWriting","HR","HR Confidence"
"T009","StressCondition","HR","HR Confidence"
"T009","DualTask","HR","HR Confidence"
"T009","Presentation","HR","HR Confidence"
"T016","RestingBaseline","PP","Filtered in AllSignals"
"T016","BaselineWriting","PP","Filtered in AllSignals"
"T016","StressCondition","PP","Filtered in AllSignals"
"T016","DualTask","PP","Filtered in AllSignals"
"T016","Presentation","PP","Filtered in AllSignals"
"T031","Presentation","HR","HR Confidence"
"T067","RestingBaseline","ALL","Stopped halfway through"
"T067","RestingBaseline","PP","Filtered in AllSignals"
"T067","BaselineWriting","ALL","Stopped halfway through"
"T067","BaselineWriting","PP","Filtered in AllSignals"
"T067","StressCondition","ALL","Stopped halfway through"
"T067","StressCondition","PP","Filtered in AllSignals"
"T067","DualTask","ALL","Stopped halfway through"
"T067","DualTask","PP","Filtered in AllSignals"
"T067","Presentation","ALL","Stopped halfway through"
"T067","Presentation","PP","Filtered in AllSignals"
"T080","RestingBaseline","PP","Filtered in AllSignals"
"T080","BaselineWriting","PP","Filtered in AllSignals"
"T080","StressCondition","PP","Filtered in AllSignals"
"T080","DualTask","PP","Filtered in AllSignals"
"T080","Presentation","PP","Filtered in AllSignals"
"T083","RestingBaseline","PP","Filtered in AllSignals"
"T083","BaselineWriting","PP","Filtered in AllSignals"
"T083","StressCondition","PP","Filtered in AllSignals"
"T083","DualTask","PP","Filtered in AllSignals"
"T083","Presentation","PP","Filtered in AllSignals"
"T084","RestingBaseline","PP","Filtered in AllSignals"
"T084","BaselineWriting","PP","Filtered in AllSignals"
"T084","StressCondition","PP","Filtered in AllSignals"
"T084","DualTask","PP","Filtered in AllSignals"
"T084","Presentation","PP","Filtered in AllSignals"
"T091","Presentation","BR","Filtered in AllSignals"
"T092","RestingBaseline","PP","Filtered in AllSignals"
"T092","BaselineWriting","PP","Filtered in AllSignals"
"T092","StressCondition","PP","Filtered in AllSignals"
"T092","DualTask","PP","Filtered in AllSignals"
"T092","Presentation","PP","Filtered in AllSignals"
"T096","RestingBaseline","N.EDA","Filtered in AllSignals"
"T096","BaselineWriting","N.EDA","Filtered in AllSignals"
"T096","StressCondition","N.EDA","Filtered in AllSignals"
"T098","RestingBaseline","PP","Filtered in AllSignals"
"T098","BaselineWriting","PP","Filtered in AllSignals"
"T098","StressCondition","PP","Filtered in AllSignals"
"T098","DualTask","PP","Filtered in AllSignals"
"T098","Presentation","PP","Filtered in AllSignals"
"T107","RestingBaseline","PP","Filtered in AllSignals"
"T107","BaselineWriting","PP","Filtered in AllSignals"
"T107","StressCondition","PP","Filtered in AllSignals"
"T107","DualTask","PP","Filtered in AllSignals"
"T107","Presentation","PP","Filtered in AllSignals"
"T108","RestingBaseline","HR","HR Confidence"
"T108","BaselineWriting","HR","HR Confidence"
"T108","StressCondition","HR","HR Confidence"
"T108","DualTask","HR","HR Confidence"
"T108","Presentation","HR","HR Confidence"
"T110","RestingBaseline","PP","Filtered in AllSignals"
"T110","BaselineWriting","PP","Filtered in AllSignals"
"T110","StressCondition","PP","Filtered in AllSignals"
"T110","DualTask","PP","Filtered in AllSignals"
"T110","Presentation","PP","Filtered in AllSignals"
"T124","RestingBaseline","PP","Filtered in AllSignals"
"T124","BaselineWriting","PP","Filtered in AllSignals"
"T124","StressCondition","PP","Filtered in AllSignals"
"T124","DualTask","PP","Filtered in AllSignals"
"T124","Presentation","PP","Filtered in AllSignals"
"T126","RestingBaseline","HR","HR Confidence"
"T126","BaselineWriting","HR","HR Confidence"
"T126","StressCondition","HR","HR Confidence"
"T126","DualTask","HR","HR Confidence"
"T126","Presentation","HR","HR Confidence"
"T127","RestingBaseline","PP","Filtered in AllSignals"
"T127","BaselineWriting","PP","Filtered in AllSignals"
"T127","StressCondition","PP","Filtered in AllSignals"
"T127","DualTask","PP","Filtered in AllSignals"
"T127","Presentation","PP","Filtered in AllSignals"
"T128","Presentation","HR","HR Confidence"
