"Subject","Condition","Essay","Positive","Neutral","Negative","WordCount","SentenceCount"
"T003","IH","WB",1,0,4,126,5
"T003","IH","DT",3,3,10,368,16
"T005","IH","WB",4,1,3,146,8
"T005","IH","DT",4,0,6,175,10
"T006","IH","WB",3,1,0,80,4
"T006","IH","DT",5,4,7,270,16
"T009","IH","WB",3,1,3,96,7
"T009","IH","DT",4,1,6,226,11
"T011","IH","WB",3,2,1,123,6
"T011","IH","DT",0,4,4,93,8
"T061","IH","WB",2,1,3,100,6
"T061","IH","DT",3,4,18,520,25
"T062","IH","WB",2,1,3,127,6
"T062","IH","DT",4,7,13,435,24
"T063","IH","WB",0,1,5,120,6
"T063","IH","DT",1,1,14,380,16
"T064","IH","WB",4,1,0,73,5
"T064","IH","DT",1,1,5,132,7
"T065","IH","WB",2,2,7,190,11
"T065","IH","DT",3,4,13,370,20
"T066","IH","WB",4,1,1,98,6
"T066","IH","DT",2,2,11,289,15
"T121","IH","WB",1,0,2,103,3
"T121","IH","DT",3,3,13,494,19
"T122","IH","WB",1,1,2,132,4
"T122","IH","DT",2,1,8,257,11
"T124","IH","WB",1,0,3,109,4
"T124","IH","DT",1,2,5,257,8
"T126","IH","WB",0,0,5,126,5
"T126","IH","DT",2,0,18,554,20
"T127","IH","WB",3,1,3,154,7
"T127","IH","DT",8,4,14,478,26
"T128","IH","WB",3,0,2,117,5
"T128","IH","DT",0,1,9,222,10
"T130","IH","WB",2,3,5,190,10
"T130","IH","DT",5,4,15,526,24
"T132","IH","WB",3,0,8,222,11
"T132","IH","DT",5,2,19,585,26
"T031","IL","WB",3,1,3,112,7
"T031","IL","DT",3,4,7,241,14
"T032","IL","WB",1,2,2,71,5
"T032","IL","DT",3,3,5,173,11
"T035","IL","WB",2,1,1,85,4
"T035","IL","DT",1,0,6,147,7
"T091","IL","WB",5,2,5,218,12
"T091","IL","DT",6,4,12,429,22
"T092","IL","WB",4,0,3,133,7
"T092","IL","DT",2,1,12,373,15
"T093","IL","WB",1,0,4,74,5
"T093","IL","DT",2,0,10,214,12
"T094","IL","WB",2,2,4,104,8
"T094","IL","DT",0,2,7,134,9
"T096","IL","WB",1,4,3,133,8
"T096","IL","DT",5,2,13,403,20
"T097","IL","WB",1,1,5,167,7
"T097","IL","DT",1,4,7,349,12
"T098","IL","WB",1,1,4,127,6
