"Subject","Session","Condition","PP","HR","BR","D.EDA","D.HR","N.EDA","N.HR"
"T003","RestingBaseline","IH",1,1,1,1,1,1,1
"T003","BaselineWriting","IH",1,1,1,1,1,1,1
"T003","StressCondition","IH",1,1,1,1,1,1,1
"T003","DualTask","IH",1,1,1,1,1,1,1
"T003","Presentation","IH",1,1,1,1,1,1,1
"T005","RestingBaseline","IH",1,-1,1,1,1,1,1
"T005","BaselineWriting","IH",1,-1,1,1,1,1,1
"T005","StressCondition","IH",1,-1,1,1,1,1,1
"T005","DualTask","IH",1,-1,1,1,1,1,1
"T005","Presentation","IH",1,-1,1,1,1,1,1
"T006","RestingBaseline","IH",1,1,1,1,1,1,1
"T006","BaselineWriting","IH",1,1,1,1,1,1,1
"T006","StressCondition","IH",1,1,1,1,1,1,1
"T006","DualTask","IH",1,1,1,1,1,1,1
"T006","Presentation","IH",1,1,1,1,1,1,1
"T009","RestingBaseline","IH",1,-1,1,1,1,1,1
"T009","BaselineWriting","IH",1,-1,1,1,1,1,1
"T009","StressCondition","IH",1,-1,1,1,1,1,1
"T009","DualTask","IH",1,-1,1,1,1,1,1
"T009","Presentation","IH",1,-1,1,1,1,1,1
"T016","RestingBaseline","BH",1,1,1,1,1,1,1
"T016","BaselineWriting","BH",1,1,1,1,1,1,1
"T016","StressCondition","BH",1,1,1,1,1,1,1
"T016","DualTask","BH",1,1,1,1,1,1,1
"T016","Presentation","BH",1,1,1,1,1,1,1
"T019","RestingBaseline","BH",1,1,1,0,0,1,1
"T019","BaselineWriting","BH",1,1,1,0,0,1,1
"T019","StressCondition","BH",1,1,1,0,0,1,1
"T019","DualTask","BH",1,1,1,0,0,1,1
"T019","Presentation","BH",1,1,1,0,0,1,1
"T021","RestingBaseline","BH",1,0,0,0,0,0,0
"T021","BaselineWriting","BH",1,0,0,0,0,0,0
"T021","StressCondition","BH",1,0,0,0,0,0,0
"T021","DualTask","BH",1,0,0,0,0,0,0
"T021","Presentation","BH",1,0,0,0,0,0,0
"T031","RestingBaseline","IL",1,1,1,0,0,1,1
"T031","BaselineWriting","IL",1,1,1,0,0,1,1
"T031","StressCondition","IL",1,1,1,0,0,1,1
"T031","DualTask","IL",1,1,1,0,0,1,1
"T032","RestingBaseline","IL",1,1,1,0,0,1,1
"T032","BaselineWriting","IL",1,1,1,0,0,1,1
"T032","StressCondition","IL",1,1,1,0,0,1,1
"T032","DualTask","IL",1,1,1,0,0,1,1
"T032","Presentation","IL",1,1,1,0,0,1,1
"T046","RestingBaseline","BL",1,0,0,0,0,0,0
"T046","BaselineWriting","BL",1,0,0,0,0,0,0
"T046","StressCondition","BL",1,0,0,0,0,0,0
"T046","DualTask","BL",1,0,0,0,0,0,0
"T046","Presentation","BL",1,0,0,0,0,0,0
"T047","RestingBaseline","BL",1,1,1,0,0,1,1
"T047","BaselineWriting","BL",1,1,1,0,0,1,1
"T047","StressCondition","BL",1,1,1,0,0,1,1
"T047","DualTask","BL",1,1,1,0,0,1,1
"T047","Presentation","BL",1,1,1,0,0,1,1
"T061","RestingBaseline","IH",1,1,1,0,0,1,1
"T061","BaselineWriting","IH",1,1,1,0,0,1,1
"T061","StressCondition","IH",1,1,1,0,0,1,1
"T061","DualTask","IH",1,1,1,0,0,1,1
"T061","Presentation","IH",1,1,1,0,0,1,1
"T063","RestingBaseline","IH",1,1,1,0,0,1,1
"T063","BaselineWriting","IH",1,1,1,0,0,1,1
"T063","StressCondition","IH",1,1,1,0,0,1,1
"T063","DualTask","IH",1,1,1,0,0,1,1
"T063","Presentation","IH",1,1,1,0,0,1,1
"T064","RestingBaseline","IH",1,1,1,0,0,1,1
"T064","BaselineWriting","IH",1,1,1,0,0,1,1
"T064","StressCondition","IH",1,1,1,0,0,1,1
"T064","DualTask","IH",1,1,1,0,0,1,1
"T064","Presentation","IH",1,1,1,0,0,1,1
"T065","RestingBaseline","IH",1,1,1,0,0,1,1
"T065","BaselineWriting","IH",1,1,1,0,0,1,1
